#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AA21BA
#Date Time: 2023-10-14 17:37:02.336
#Trace: Trace
#Start: 500000 Hz
#Stop: 5e+06 Hz
#Steps: 501
#Resistor: 100 ?
#Average: 1
#ProbeResistance: 1.04e+06 ?
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 2 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.48031 V
#Offset: -6.64227e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54429 V
#Offset: 8.32559e-06 V
#Attenuation: 1 X

Frequency (Hz)	Trace ? (°)	Trace |Z| (?)	Trace Rs (?)	Trace Xs (?)
2.58803e+06	-84.3184	224.558	22.2311	-223.455
2.59998e+06	-84.7517	224.752	20.5585	-223.809
2.61198e+06	-85.3614	223.143	18.0458	-222.412
2.62404e+06	-85.6808	220.441	16.6019	-219.815
2.63615e+06	-85.8169	217.862	15.8916	-217.281
2.64832e+06	-85.8126	215.522	15.7371	-214.946
2.66054e+06	-85.7912	213.384	15.6606	-212.809
2.67282e+06	-85.6785	211.214	15.9156	-210.613
2.68516e+06	-85.5212	209.488	16.359	-208.848
2.69755e+06	-85.3676	207.659	16.771	-206.981
2.71e+06	-85.0955	205.913	17.6045	-205.159
2.72251e+06	-84.6603	204.822	19.0608	-203.933
2.73508e+06	-84.369	204.877	20.1027	-203.888
2.7477e+06	-84.3705	205.039	20.1134	-204.051
2.76039e+06	-84.5312	204.498	19.4895	-203.567
2.77313e+06	-84.6747	203.803	18.9149	-202.924
2.78593e+06	-84.8212	202.529	18.2811	-201.703
2.79879e+06	-84.9063	201.48	17.8883	-200.684
2.81171e+06	-84.9779	200.335	17.5373	-199.566
2.82468e+06	-85.1489	199.119	16.8388	-198.406
2.83772e+06	-85.3328	197.511	16.0712	-196.856
2.85082e+06	-85.3792	195.39	15.7408	-194.755
2.86398e+06	-85.2731	193.443	15.9409	-192.785
2.8772e+06	-85.0534	191.757	16.5346	-191.043
2.89048e+06	-84.7165	190.668	17.5575	-189.858
2.90382e+06	-84.582	190.35	17.9731	-189.5
2.91723e+06	-84.7007	189.897	17.5387	-189.086
2.93069e+06	-84.8505	188.837	16.9491	-188.075
2.94422e+06	-84.9058	187.146	16.6174	-186.407
2.95781e+06	-84.8843	185.829	16.57	-185.089
2.97146e+06	-84.8901	184.735	16.4538	-184.001
2.98518e+06	-84.9391	183.561	16.1928	-182.845
2.99896e+06	-84.9552	182.058	16.0091	-181.353
3.0128e+06	-85.053	180.4	15.5567	-179.728
3.0267e+06	-85.1305	178.789	15.1766	-178.143
3.04068e+06	-85.1476	176.925	14.9661	-176.291
3.05471e+06	-85.0683	174.774	15.0251	-174.127
3.06881e+06	-84.763	172.934	15.7845	-172.212
3.08298e+06	-84.4301	171.749	16.6699	-170.938
3.09721e+06	-84.4475	170.5	16.497	-169.7
3.1115e+06	-84.6058	168.534	15.8436	-167.788
3.12586e+06	-84.7225	165.986	15.2673	-165.282
3.14029e+06	-84.6792	162.761	15.0931	-162.059
3.15479e+06	-84.3598	159.118	15.6383	-158.348
3.16935e+06	-83.5916	155.221	17.3248	-154.251
3.18398e+06	-82.2876	151.628	20.3485	-150.256
3.19867e+06	-80.4788	149.114	24.6653	-147.06
3.21344e+06	-78.1328	147.665	30.3664	-144.509
3.22827e+06	-75.1335	149.848	38.4464	-144.832
3.24317e+06	-73.4874	157.868	44.8702	-151.357
3.25814e+06	-74.6369	165.615	43.8773	-159.697
3.27318e+06	-76.7921	167.529	38.2777	-163.097
3.28829e+06	-78.4042	164.742	33.1141	-161.38
3.30347e+06	-78.9193	160.672	30.8798	-157.677
3.31872e+06	-79.2469	157.03	29.2982	-154.273
3.33403e+06	-79.6128	151.217	27.2644	-148.739
3.34942e+06	-79.0731	142.381	26.9892	-139.8
3.36488e+06	-76.6994	131.297	30.2061	-127.775
3.38041e+06	-71.7867	117.255	36.6489	-111.381
3.39602e+06	-52.9711	97.194	58.532	-77.5931
3.41169e+06	-11.9793	183.511	179.514	-38.0891
3.42744e+06	-59.3032	343.412	175.31	-295.293
3.44326e+06	-76.5068	261.042	60.9092	-253.837
3.45915e+06	-79.0245	228.322	43.4699	-224.146
3.47512e+06	-80.4469	214.905	35.6661	-211.925
3.49116e+06	-80.6947	203.895	32.9689	-201.212
3.50728e+06	-80.2778	201.243	33.9842	-198.353
3.52347e+06	-81.672	200.782	29.0813	-198.665
3.53973e+06	-83.0155	196.381	23.8801	-194.923
3.55607e+06	-83.7459	191.414	20.8522	-190.275
3.57248e+06	-84.0358	187.85	19.5189	-186.834
3.58897e+06	-84.4099	184.881	18.0095	-184.002
3.60554e+06	-84.8257	181.971	16.4112	-181.229
3.62218e+06	-85.1502	179.027	15.1357	-178.386
3.6389e+06	-85.3181	175.727	14.3435	-175.141
3.6557e+06	-85.2193	172.827	14.4037	-172.226
3.67257e+06	-85.1944	170.24	14.262	-169.642
3.68952e+06	-84.9645	168.008	14.7465	-167.359
3.70655e+06	-84.6871	166.338	15.4021	-165.623
3.72366e+06	-84.3646	165.055	16.2079	-164.257
3.74085e+06	-84.1007	164.402	16.8973	-163.531
3.75811e+06	-83.9294	164.154	17.3599	-163.234
3.77546e+06	-84.0721	164.034	16.9408	-163.157
3.79289e+06	-84.316	163.348	16.1783	-162.545
3.8104e+06	-84.5803	162.47	15.3455	-161.744
